nama,Pertumbuhan Tanaman Yang Tidak Normal,Daun Berubah Warna Menjadi Hijau Pucat,Tanaman Menjadi Lemah Dan Terjadi Nekrosis,Daun Yang Terdapat Bercak Bercak Lonjong Berwarna Kuning,Daun Berubah Warna Dari Hijau Menjadi Kuning,Pertumbuhan Menjadi Kerdil,Pangkal Batang Menghitam,Pelepah Kecil Kecil Sobek Atau Tidak Ada Sama Sekali,Pelepah Banyak Yang Patah Dan Menggantung Pada Batang,Terdapat Getah Atau Lendir Yang Keluar Pada Batang Sawit Yang Terinfeksi Jamur Ganoderma,Tanaman Menjadi Kuncup Melengkung,Daun Bercak Bercak Kuning Ditengah Daun terdapat Bercak Berwarna Coklat,Terlihat Adanya Warna Coklat Pada Ujung Daun,Adanya	Rizomorf Jamur Berwarna Putih Pada Permukaan Buah,Tandan Buah Rusak Atau Membusuk,Daun Tajuk Yang Tumbuh Lebih kecil Bukan Tambah Besar 
busuk pangkal batang,false,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true
busuk kuncup,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,true
busuk kuncup,false,true,true,false,true,true,false,false,true,false,true,false,true,true,true,false
anthracnose,false,true,false,false,true,true,true,false,true,true,true,true,false,false,false,true
busuk kuncup,false,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false
daun mengecil,true,true,false,true,false,false,false,true,false,false,false,true,true,true,true,true
busuk buah,false,true,false,true,false,true,true,false,true,false,true,false,true,true,false,true
anthracnose,true,false,true,false,true,true,true,true,true,true,false,false,true,false,true,true
garis kuning,true,false,true,true,true,true,false,false,true,false,true,true,true,false,false,false
busuk pangkal batang,false,true,false,true,false,false,true,false,true,true,false,false,true,true,false,false
tajuk,false,true,true,false,false,true,false,false,true,false,false,false,true,true,true,true
busuk pangkal batang,false,false,false,false,false,false,true,false,true,true,true,true,true,false,true,false
busuk akar sawit,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,true
tajuk,false,true,false,true,true,true,false,false,true,true,false,false,true,false,false,true
busuk buah,true,true,false,true,false,true,false,false,false,false,false,false,true,false,true,false
tajuk,false,true,true,false,true,true,true,false,false,true,true,false,false,true,true,true
anthracnose,true,false,true,true,false,false,true,false,true,true,false,false,false,false,true,true
tajuk,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,false
busuk akar sawit,false,false,true,true,true,false,false,true,false,false,false,true,true,true,true,false
busuk kuncup,false,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false
tajuk,true,true,false,true,true,true,true,false,true,true,false,true,false,false,false,false
anthracnose,false,true,true,false,true,true,false,true,true,false,false,true,true,false,true,false
busuk kuncup,true,false,false,true,false,true,false,false,true,false,false,true,true,false,false,true
busuk akar sawit,false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true
daun mengecil,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true
busuk kuncup,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,true
daun mengecil,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false
busuk buah,true,false,false,true,false,true,true,false,false,false,false,true,true,false,true,true
tajuk,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true
busuk buah,true,true,false,false,true,false,true,true,false,true,false,false,true,true,true,true
garis kuning,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true
garis kuning,true,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false
tajuk,false,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false
busuk buah,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true
garis kuning,false,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true
busuk kuncup,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true
